x,x,x,x,o,o,x,o,o,true
x,x,x,x,o,o,o,x,o,true
x,x,x,x,o,o,o,o,x,true
x,x,x,x,o,o,o,o,o,true
x,x,x,x,o,o,o,o,o,true
x,x,x,x,o,o,o,o,o,true
x,x,x,x,o,o,o,o,o,true
x,x,x,x,o,o,o,o,o,true
x,x,x,x,o,o,o,o,o,true
x,x,x,x,o,o,o,o,o,true
x,x,x,x,o,o,o,o,o,true
x,x,x,x,o,o,o,o,o,true
x,x,x,o,x,o,x,o,o,true
x,x,x,o,x,o,o,x,o,true
x,x,x,o,x,o,o,o,x,true
x,x,x,o,x,o,o,o,o,true
x,x,x,o,x,o,o,o,o,true
x,x,x,o,x,o,o,o,o,true
x,x,x,o,x,o,o,o,o,true
x,x,x,o,x,o,o,o,o,true
x,x,x,o,x,o,o,o,o,true
x,x,x,o,o,x,x,o,o,true
x,x,x,o,o,x,o,x,o,true
x,x,x,o,o,x,o,o,x,true
x,x,x,o,o,x,o,o,o,true
x,x,x,o,o,x,o,o,o,true
x,x,x,o,o,x,o,o,o,true
x,x,x,o,o,o,x,o,o,true
x,x,x,o,o,o,x,o,o,true
x,x,x,o,o,o,o,x,o,true
x,x,x,o,o,o,o,o,x,true
x,x,x,o,o,o,o,x,o,true
x,x,x,o,o,o,o,o,x,true
x,x,x,o,o,o,o,o,o,true
x,x,x,o,o,x,o,o,o,true
x,x,x,o,o,x,o,o,o,true
x,x,x,o,o,x,o,o,o,true
x,x,x,o,o,o,x,o,o,true
x,x,x,o,o,o,x,o,o,true
x,x,x,o,o,o,o,x,o,true
x,x,x,o,o,o,o,o,x,true
x,x,x,o,o,o,o,x,o,true
x,x,x,o,o,o,o,o,x,true
x,x,x,o,o,o,o,o,o,true
x,x,x,o,o,o,x,o,o,true
x,x,x,o,o,o,o,x,o,true
x,x,x,o,o,o,o,o,x,true
x,x,x,o,o,o,o,o,o,true
x,x,x,o,o,o,o,o,o,true
x,x,x,o,o,o,o,o,o,true
x,x,x,o,x,o,o,o,o,true
x,x,x,o,x,o,o,o,o,true
x,x,x,o,x,o,o,o,o,true
x,x,x,o,o,x,o,o,o,true
x,x,x,o,o,x,o,o,o,true
x,x,x,o,o,x,o,o,o,true
x,x,x,o,o,o,x,o,o,true
x,x,x,o,o,o,x,o,o,true
x,x,x,o,o,o,o,x,o,true
x,x,x,o,o,o,o,o,x,true
x,x,x,o,o,o,o,x,o,true
x,x,x,o,o,o,o,o,x,true
x,x,x,o,o,o,o,o,o,true
x,x,x,o,o,o,x,o,o,true
x,x,x,o,o,o,o,x,o,true
x,x,x,o,o,o,o,o,x,true
x,x,x,o,o,o,o,o,o,true
x,x,x,o,o,o,o,o,o,true
x,x,x,o,o,o,o,o,o,true
x,x,x,o,o,o,x,o,o,true
